ngrams,(1070, 44953),0.46065354386916774,0.06662010843046498
chargrams,(1070, 94218),0.5797063436499942,0.059872495364482387
puntuactionmarks,(1070, 6),0.34579306474478677,0.041605420322443055
capitalizedletters,(1070, 4),0.3172619484797769,0.03336812338632083
laughter,(1070, 1),0.0,0.0
statistics,(1070, 5),0.0,0.0
bio,(1070, 1039),0.9431935621231637,0.024774947507469756
cue_words,(1070, 8),0.1999010000298133,0.0321225527859084
linguistic_words,(1070, 6),0.24079713086080198,0.04496178923411446
lexical_diversity,(1070, 9),0.36119708738871087,0.05339066010723437
network_centrality_base_retweet,(1070, 4),0.6585195151810993,0.02925857081541152
network_centrality_base_friend,(1070, 3),0.9719259469464314,0.010090793106032421
network_label_count_base_retweet,(1070, 6),0.7150238891076537,0.030700840767150617
network_label_count_base_friend,(1070, 6),0.9743566208203694,0.01036473871061732
network_mds_base_retweet,(1070, 4),0.9375708976149776,0.023022688977486046
network_mds_base_friend,(1070, 4),0.9406560031899265,0.02299707894843758
deprelneg,(1070, 5),0.23743364451185164,0.03655940471941895
deprel,(1070, 57875),0.24625732735651426,0.05110438939828562
relationformVERB,(1070, 7219),0.3017990875145846,0.04732361651360929
relationformNOUN,(1070, 7599),0.3630125654410243,0.03719665963189073
Sidorovbigramsform,(1070, 18119),0.46046767456986015,0.05763294803036283
target_context_one,(1070, 200),0.5090091809286238,0.03957580906750654
target_context_two,(1070, 400),0.5266633773231575,0.03744444801166261
ngrams, chargrams,(1070, 139171),0.5738337264982253,0.05393103030137553
ngrams, puntuactionmarks,(1070, 44959),0.4584542120301406,0.05385006192811966
ngrams, capitalizedletters,(1070, 44957),0.4402917790321066,0.06633461912213394
ngrams, laughter,(1070, 44954),0.45525755308415916,0.0651476147825487
ngrams, statistics,(1070, 44958),0.45572989955798093,0.04910388924968344
ngrams, bio,(1070, 45992),0.8151114137032439,0.027957887046225472
ngrams, cue_words,(1070, 44961),0.46564979471689405,0.05809279495099479
ngrams, linguistic_words,(1070, 44959),0.4566980807768174,0.0499106931616801
ngrams, lexical_diversity,(1070, 44962),0.4446995037294713,0.0348406419760491
ngrams, network_centrality_base_retweet,(1070, 44957),0.5952101480464388,0.0442913942627904
ngrams, network_centrality_base_friend,(1070, 44956),0.5931656073077193,0.05392944976745009
ngrams, network_label_count_base_retweet,(1070, 44959),0.6815399040018308,0.04602503030968539
ngrams, network_label_count_base_friend,(1070, 44959),0.7059788960964685,0.05362240234559132
ngrams, network_mds_base_retweet,(1070, 44957),0.6853144884651654,0.03877698108632007
ngrams, network_mds_base_friend,(1070, 44957),0.6721644411844413,0.043848026551865954
ngrams, deprelneg,(1070, 44958),0.45855877623125924,0.050084225947590856
ngrams, deprel,(1070, 102828),0.42760046597162993,0.058977962981678594
ngrams, relationformVERB,(1070, 52172),0.4582017328741019,0.06801349973685256
ngrams, relationformNOUN,(1070, 52552),0.4425698232334547,0.06992631345801109
